id,titulo,descripcion,salario,estado
693,disenador,Descripción del cargo profesional,3125264,activo
82,disenador,Descripción del cargo profesional,3549796,cerrado
710,auxiliar,Descripción del cargo profesional,2859381,activo
392,disenador,Descripción del cargo profesional,3276266,activo
655,auxiliar,Descripción del cargo profesional,1896671,activo
915,desarrollador,Descripción del cargo profesional,2117009,activo
755,odontologo,Descripción del cargo profesional,1544978,activo
614,desarrollador,Descripción del cargo profesional,2763700,cerrado
286,disenador,Descripción del cargo profesional,2587692,activo
77,odontologo,Descripción del cargo profesional,2515494,activo
807,contador,Descripción del cargo profesional,3273422,activo
902,odontologo,Descripción del cargo profesional,4313476,activo
366,contador,Descripción del cargo profesional,1832600,activo
827,contador,Descripción del cargo profesional,4273071,activo
297,disenador,Descripción del cargo profesional,2057050,activo
683,desarrollador,Descripción del cargo profesional,1840010,activo
566,desarrollador,Descripción del cargo profesional,2079594,activo
642,auxiliar,Descripción del cargo profesional,4224492,cerrado
600,desarrollador,Descripción del cargo profesional,3586175,activo
385,contador,Descripción del cargo profesional,3832546,cerrado
845,disenador,Descripción del cargo profesional,1587710,cerrado
557,desarrollador,Descripción del cargo profesional,4525946,cerrado
649,disenador,Descripción del cargo profesional,2966953,cerrado
272,auxiliar,Descripción del cargo profesional,2710287,activo
918,auxiliar,Descripción del cargo profesional,3788065,cerrado
454,auxiliar,Descripción del cargo profesional,3343393,cerrado
628,contador,Descripción del cargo profesional,4818598,cerrado
582,contador,Descripción del cargo profesional,4197539,activo
564,disenador,Descripción del cargo profesional,4751999,cerrado
480,auxiliar,Descripción del cargo profesional,3705065,activo
213,auxiliar,Descripción del cargo profesional,1531390,activo
631,contador,Descripción del cargo profesional,1634103,activo
20,disenador,Descripción del cargo profesional,2823511,cerrado
886,disenador,Descripción del cargo profesional,3429952,cerrado
766,odontologo,Descripción del cargo profesional,4499648,cerrado
571,disenador,Descripción del cargo profesional,4793741,activo
153,desarrollador,Descripción del cargo profesional,4222178,activo
35,desarrollador,Descripción del cargo profesional,2835615,activo
58,auxiliar,Descripción del cargo profesional,4903756,activo
373,desarrollador,Descripción del cargo profesional,4752383,activo
